country,categoria_expectativa_vida,gdp_per_capita_current_us$,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,services_value_added_of_gdp,infant_mortality_rate_per_1_000_live_births,tiene_dato_gini,ratio_servicios_agri
Armenia,Mortalidad_Media,3511.56399687426,26.0,982.442415313472,74.119512195122,17.9126819526397,45.6989324054448,14.8,1.0,2.551205482588853
Armenia,Mortalidad_Media,3349.55309771906,27.0,896.948023835655,73.8170731707317,10.286326076251111,53.89514732288804,15.6,1.0,5.8856275986988145
Armenia,Mortalidad_Media,3041.34450723339,29.0,815.62798698571,73.1731707317073,10.146078460407022,52.22845637659734,16.4,1.0,8.326512123100427
Armenia,Mortalidad_Media,2820.5926553347,30.0,851.338387705143,73.0731707317073,7.610723350522164,58.1434297636923,17.2,1.0,15.07528757296377
Armenia,Mortalidad_Media,3777.66859313767,29.0,973.21714524559,73.0731707317073,7.361308483937165,59.55012326699212,18.1,1.0,9.418660345395667
Armenia,Mortalidad_Media,2962.70234594569,29.0,918.181612522836,72.8731707317073,9.431531827884601,52.17016848266951,19.1,1.0,8.383070505750371
Armenia,Mortalidad_Media,2041.65267068997,31.0,818.274997390362,72.8243902439025,11.349561477477748,57.540149791134695,20.1,1.0,16.69027034041863
Armenia,Mortalidad_Media,1557.48458908655,30.0,798.544180515189,73.0756097560976,25.076478277498516,49.89221770591738,21.3,1.0,2.239807620942293
Armenia,Mortalidad_Media,1130.08791444158,25.0,661.929679898088,73.0268292682927,16.7594911987985,47.85658904691782,22.5,1.0,3.206605339503438
Armenia,Mortalidad_Media,882.030167695474,25.0,622.582881402385,72.8268292682927,25.754601291505434,43.8477885193112,23.7,1.0,1.8981335117016411
Armenia,Mortalidad_Media,742.651118319819,25.0,586.440648432386,72.8268292682927,23.73765840829342,41.26597437896034,25.0,1.0,1.8829001960523055
Armenia,Mortalidad_Media,659.588988535629,30.0,624.555471332605,72.9756097560976,36.40036185252303,41.96751623966278,26.4,1.0,1.1559587534613556
Armenia,Mortalidad_Media,593.450581742282,30.0,625.503227341883,72.8804878048781,27.88827608384882,48.33532149509476,27.8,0.0,1.8094901511570476
Armenia,Mortalidad_Media,443.924860857976,25.4,497.307222678528,68.628487804878,28.407057690559235,42.03068334743506,35.9,0.0,1.570966386232767
Australia,Mortalidad_Baja,64997.0136536475,87.0,4889.62127856192,83.2,2.67322768587611,63.2803780067106,3.2,0.0,23.67189983144717
Australia,Mortalidad_Baja,60607.7788605166,89.8,5070.76722733807,83.3,2.30383992497922,65.7263659123358,3.2,0.0,28.52905065135054
Australia,Mortalidad_Baja,51791.540179984,89.3,5229.062652917,83.2,2.01224930777837,66.2505178731197,3.2,0.0,32.923613200922794
Australia,Mortalidad_Baja,54972.7017885437,79.9,5295.87164421938,82.9,2.11578072211076,66.0129131385253,3.2,0.0,31.200262129559928
Australia,Mortalidad_Baja,57196.4220783778,77.4,5282.20664251934,82.7487804878049,2.46003762123075,66.5626518353243,3.2,1.0,27.05757475449631
Australia,Mortalidad_Baja,53901.7145392154,74.8,5323.92858334601,82.5,2.70644694209046,66.8927633693757,3.2,0.0,24.716081564010903
Australia,Mortalidad_Baja,49888.0410842736,80.0,5216.98867184459,82.4487804878049,2.40555300214607,68.1276592151342,3.2,1.0,28.320996940975885
Australia,Mortalidad_Baja,56739.0265346593,81.0,5318.66679266228,82.4,2.3759901241561,67.1549380758728,3.3,0.0,28.263980305778748
