country,categoria_expectativa_vida,rec_government_integrity,rec_energy_use_kg_of_oil_equivalent_per_capita,rec_life_expectancy_at_birth_total_years,rec_agriculture_value_added_of_gdp,rec_services_value_added_of_gdp,rec_infant_mortality_rate_per_1_000_live_births,rec_tiene_dato_gini,rec_ratio_servicios_agri,gdp_per_capita_current_us$
Djibouti,Mortalidad_Alta,-0.765325735851781,-0.5926706813076307,-1.6486427792785479,0.8680341737071253,-0.5335727890651064,1.595445337573548,-0.8928881841105378,-0.22551203785781632,737.612183644052
Djibouti,Mortalidad_Alta,-0.7961077353929927,-0.6021432501531573,-1.7551510749058847,1.013360726542976,-0.5693106028210537,1.7290733581594961,-0.9308864912383457,-0.21832837297462593,786.201866748458
Dominican Republic,Mortalidad_Media,-0.3720790634234049,-0.5098738028306542,0.17544292548288867,-0.3578411855778883,0.45588691329310693,-0.3352116286582801,1.055971611257512,0.04541869659212275,10104.2449349081
Dominican Republic,Mortalidad_Media,-0.3643221000552567,-0.5987943901754548,0.029987614982624144,-0.349741108042576,0.5522169755353651,-0.14480681630315936,1.0582211338223477,0.138997737656167,8527.0754858205
Dominican Republic,Mortalidad_Media,-0.3151409542681899,-0.627541055340262,0.03338282459450671,-0.3659828911376101,0.6246685572166156,-0.12415053752876332,1.081151571923555,0.16240559936395116,7135.22273255899
Dominican Republic,Mortalidad_Media,-0.3703961789129482,-0.59664827399458,-0.03052723262165661,-0.313812438511883,0.5091632095570594,-0.04965404739745449,1.0808409337412181,0.15241083421881918,8183.01623600375
Dominican Republic,Mortalidad_Media,-0.33827234466390776,-0.6231587145189273,0.019926754788542993,-0.3548168321105856,0.5895681013885977,-0.11465987142990536,1.0835728003514409,0.16475027586834814,7882.98221584944
Dominican Republic,Mortalidad_Media,-0.23641516063773999,-0.6595706758076874,0.05942389086961239,-0.3962727971805662,0.7385660412640188,-0.12187293170393318,1.108957492087028,0.18109709968713525,7412.71571571512
Dominican Republic,Mortalidad_Media,-0.23175719033647585,-0.6723039758066474,0.04230003836805712,-0.3956743206055736,0.7488515200104188,-0.09579088228561011,1.102777515361715,0.1953819825574763,7160.44200982307
Dominican Republic,Mortalidad_Media,-0.31523067555986173,-0.6392769381885799,0.013386710793687494,-0.3632272899548079,0.6280382929271756,-0.09617136096642817,1.0741491468198607,0.17688431479552674,6800.95309395474
Dominican Republic,Mortalidad_Media,-0.3594155251978186,-0.6167705081319379,0.006266556941793244,-0.34735001624244594,0.5629819942880819,-0.10809327397941626,1.0602921897781459,0.1607013844084197,6496.45166971142
Dominican Republic,Mortalidad_Media,-0.3761731600524455,-0.5996482950609976,-0.011828378662006485,-0.3286398407663973,0.5223563862232258,-0.08671138669846407,1.0576132199961592,0.14920534028701005,6136.59429329301
Dominican Republic,Mortalidad_Media,-0.2951597816872521,-0.6456401826719477,0.022433979479003774,-0.37162928975344206,0.6572859742326659,-0.09944813219903115,1.079072426903524,0.17903793711013805,6013.81965002603
Dominican Republic,Mortalidad_Media,-0.3236635927533993,-0.6409322918070912,0.0008842813524700018,-0.35924728886121404,0.6185979899113843,-0.08361077182935697,1.0627476185455307,0.18049172134673497,5826.51014109195
Dominican Republic,Mortalidad_Media,-0.35452552309020546,-0.6156583600787877,-0.026732959288179044,-0.332505578186974,0.5550236732556135,-0.05574831133720548,1.0490857891869503,0.16317280128958542,5478.62470398954
Dominican Republic,Mortalidad_Media,-0.37132545369600795,-0.590984187012181,-0.055094634687496084,-0.30595771635139013,0.5048590001320448,-0.018375238942063166,1.0395245500880483,0.14490542151356295,4973.95186999952
Dominican Republic,Mortalidad_Media,-0.48169710797196374,-0.4747448107694135,-0.09604877227149146,-0.22057509883526633,0.2714899504557621,0.0007712109406199374,1.0211653165324397,0.05091870674028978,5023.58513403515
Dominican Republic,Mortalidad_Media,-0.555727661301261,-0.4031053470430664,-0.08842440334855137,-0.1795986282170115,0.117361990491334,-0.035450461817877976,1.0061501193342794,-0.006704893585806976,4649.64558875814
Dominican Republic,Mortalidad_Media,-0.5495972186233895,-0.40512427953049385,-0.10668505252877428,-0.1740867321904957,0.12570600428140638,-0.0069979619350976074,1.0058637112062008,-0.004844185905861137,4055.14270347371
Dominican Republic,Mortalidad_Media,-0.5048002064433706,-0.4589346127418075,-0.07009099860040609,-0.22268453919610143,0.23530943428525775,-0.047204683102837264,1.0076103370652114,0.036055550192501784,3878.31206735244
Dominican Republic,Mortalidad_Media,-0.5030648479056077,-0.45968347071545784,-0.07360338967327412,-0.22237169569476278,0.2373505618373234,-0.04175192750659856,1.0012841364003902,0.036415991874322096,2451.69161616569
Dominican Republic,Mortalidad_Media,-0.5421892959695862,-0.41093888278830615,-0.11352909497221403,-0.17561102173135973,0.1396668088436207,0.005060988903225483,1.002101118410112,-0.000410201997112003,2383.26171780393
Dominican Republic,Mortalidad_Media,-0.6033644386695447,-0.3429042694953881,-0.13954185442592917,-0.12187228803709543,-0.003369404414373167,0.024953770533673203,0.998565494180824,-0.05253209594477454,3065.60329524196
Dominican Republic,Mortalidad_Media,-0.6023039939848358,-0.33790263537261567,-0.1649967136052847,-0.1096950164165455,-0.009199653002010422,0.062203892620312506,0.9909243419031486,-0.056278215060568404,2935.89367312668
