country,categoria_expectativa_vida,AE_Latente_1,AE_Latente_2,AE_Latente_3,AE_Latente_4,gdp_per_capita_current_us$
Angola,Mortalidad_Alta,1.245838863058328,0.0,2.300629619988332,0.0,2538.59139143371
Angola,Mortalidad_Alta,3.965399619588836,0.0,5.109129177984027,2.1398466845914674,2437.25971190821
Angola,Mortalidad_Alta,4.045761062534699,0.0,5.054673556554037,2.106821467886385,1807.95294072643
Angola,Mortalidad_Alta,4.200520195249086,0.0,4.856963288189718,2.100166367510513,3213.90261080059
Angola,Mortalidad_Alta,4.263971328088092,0.0,5.079134990302724,2.1293699345228116,5005.9997412707
Angola,Mortalidad_Alta,4.247728350041539,0.0,5.406880119667202,2.0817371371379982,5057.74787833163
Angola,Mortalidad_Alta,4.287346686232342,0.0,5.874005757310241,2.0581746644718986,5086.02740086376
Angola,Mortalidad_Alta,4.428307800342014,0.0,6.154601671384159,2.056662252508015,4615.91059831778
Angola,Mortalidad_Alta,4.701264347511649,0.0,6.254554536089403,2.0780559359386643,3597.34293216332
Angola,Mortalidad_Alta,5.1407521552427005,0.0,5.965705226807291,2.1210899078520553,3136.64546955947
Angola,Mortalidad_Alta,2.541962686921717,0.0,3.9075809577909277,0.0,4103.0669003635
Angola,Mortalidad_Alta,5.008874379096669,0.0,7.812326921981278,2.028199336821789,3141.0459797605
Angola,Mortalidad_Alta,5.333562663296778,0.0,7.8900278390991545,2.0423632407452623,2617.05196022633
Angola,Mortalidad_Alta,5.409361848746031,0.0,8.193849570282628,1.9781902538232061,1916.46842218625
Angola,Mortalidad_Alta,5.808652029704841,0.0,8.329364800780263,2.0290267792626535,1266.21086410236
Angola,Mortalidad_Alta,6.019375211389687,0.0,8.511101720345577,2.0251216802362118,992.698979254665
Angola,Mortalidad_Alta,6.166877571496787,0.0,9.231244611950151,2.0131716081726267,882.147847234303
Angola,Mortalidad_Alta,5.84778428413288,0.0,11.392243354057033,2.006015214430748,533.586202412447
Angola,Mortalidad_Alta,3.8048704429783666,0.0,7.530138056745369,0.0,563.733795571487
Angola,Mortalidad_Alta,6.428909033587652,0.0,10.814548300576693,1.9737600660094614,404.29481849612
Argentina,Mortalidad_Baja,0.5621764203974888,0.0,0.04000124135718691,1.4095830454387812,13935.6811110049
Argentina,Mortalidad_Media,0.6418326764151778,0.0,0.0,1.617206149165829,10738.0179223384
Argentina,Mortalidad_Baja,0.7140248264650537,0.0,0.0,1.5701632704191626,8535.59938004389
Argentina,Mortalidad_Baja,0.4985544231397338,0.0,0.09224784462893643,1.070760257490341,9955.97478680428
Argentina,Mortalidad_Baja,0.5483036082374435,0.0,0.10025211219795216,1.0954188140195023,11752.7998922979
Argentina,Mortalidad_Baja,0.6865071484064922,0.0,0.06537966173658327,1.3072192021006543,14532.5009308511
Argentina,Mortalidad_Baja,0.5200092466823352,0.0,0.10030852495247267,1.0372050945877125,12699.9623137756
Argentina,Mortalidad_Baja,3.0309659176943393,0.0,2.2316945053938353,2.901074226055116,13679.6264980954
Argentina,Mortalidad_Baja,0.2594129519532742,0.0,0.1640396514214558,0.7790235311937452,12233.1444119186
Argentina,Mortalidad_Baja,0.3300314638985714,0.0,0.16483334406229555,0.8214619773322955,12963.675773326
Argentina,Mortalidad_Baja,0.29905969996296544,0.0,0.17146031278078777,0.7761506590316836,12949.717486654
Argentina,Mortalidad_Baja,0.17637500482457047,0.0,0.1894524440806528,0.6866657267500016,12704.2831819684
