country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,bin_auto_energy_use_kg_of_oil_equivalent_per_capita,gdp_per_capita_current_us$
Australia,Mortalidad_Baja,0.88,0.26057332673174866,0.9467982461497118,0.03619359385455915,1.0,34479.7679298388
Australia,Mortalidad_Baja,0.86,0.2618558165215329,0.9417732871083626,0.03841771046174835,1.0,30836.7306824685
Australia,Mortalidad_Baja,0.85,0.2601594154308824,0.938179045571842,0.03621312339974163,1.0,23718.1338501868
Australia,Mortalidad_Baja,0.8300000000000001,0.2538783825006731,0.9338519975084583,0.04959793866295839,1.0,20301.8431713256
Australia,Mortalidad_Baja,0.87,0.25416425535461107,0.9295249494450732,0.04392636806349902,1.0,19695.7297379144
Australia,Mortalidad_Baja,0.87,0.26320623514707125,0.9238020794257586,0.03903558778926816,1.0,21870.4159669594
Australia,Mortalidad_Baja,0.7000000000000001,0.23800701134935134,0.9037022432603605,0.0377595920959072,1.0,20448.1219685874
Austria,Mortalidad_Baja,0.8290000000000001,0.16036772288743545,0.9532888182447885,0.017069544741649994,1.0,52176.6649141178
Austria,Mortalidad_Baja,0.848,0.17249560905479447,0.9517883096421631,0.01505967610820643,1.0,53648.7190742245
Austria,Mortalidad_Baja,0.84,0.16412854182503575,0.9518232051910622,0.013230215663002686,1.0,48716.4098900349
Austria,Mortalidad_Baja,0.774,0.17432229428561952,0.9618731232737605,0.01289171629802597,1.0,49885.9947355204
Austria,Mortalidad_Baja,0.735,0.172078217626238,0.9589767927152058,0.013707749625319995,1.0,51194.0749841299
Austria,Mortalidad_Baja,0.752,0.1777550397424009,0.9582788817372401,0.014856725124366015,1.0,47163.7425775142
Austria,Mortalidad_Baja,0.72,0.1757696800421018,0.9582439861883425,0.014216106221053612,1.0,45061.4993920192
Austria,Mortalidad_Baja,0.6900000000000001,0.17569275095886183,0.9517883096421631,0.01414455018830743,1.0,43915.228020857
Austria,Mortalidad_Baja,0.755,0.17359668164391628,0.9560804621566492,0.015814197259060428,1.0,51314.9722616322
Austria,Mortalidad_Baja,0.78,0.18169388766967953,0.9510206075664025,0.015843202678112275,1.0,50305.3545774973
Austria,Mortalidad_Baja,0.79,0.18050320582248133,0.9481591725567451,0.017612853641276096,1.0,48250.4059142637
Austria,Mortalidad_Baja,0.79,0.1818220314907779,0.9488221879858114,0.018164956062422088,1.0,51116.8953522042
Austria,Mortalidad_Baja,0.81,0.18820132147350313,0.9430644224175992,0.016033492815943635,1.0,46611.1393420232
Austria,Mortalidad_Baja,0.81,0.17680606894259232,0.9395050764299762,0.014561229866816926,1.0,47857.4446635266
Austria,Mortalidad_Baja,0.86,0.1864778777717302,0.9409357939348051,0.017199772287962507,1.0,51581.3982361071
Austria,Mortalidad_Baja,0.87,0.18565132190244352,0.9373415523982844,0.018173269814614874,1.0,46622.9622913635
Austria,Mortalidad_Baja,0.84,0.1900592118792967,0.9330493998837985,0.016471781761140742,1.0,40382.2078298575
Austria,Mortalidad_Baja,0.8,0.18909750435159048,0.9251979013816896,0.015900723176494793,1.0,38157.37022862
Austria,Mortalidad_Baja,0.78,0.1839996977489044,0.9230343773499978,0.018568287531342664,1.0,36614.2506533707
Austria,Mortalidad_Baja,0.78,0.1831844189626593,0.9151828788478888,0.018489246716122083,1.0,32110.1159661425
Austria,Mortalidad_Baja,0.77,0.17458865032953738,0.9158458942769554,0.019821926095103238,1.0,26334.862215032
Austria,Mortalidad_Baja,0.76,0.17398875800126143,0.9143802812232291,0.021290241942200222,1.0,24430.495982841
Austria,Mortalidad_Baja,0.75,0.16527115867667375,0.9079595002259488,0.020817437954810804,1.0,24487.2974685956
Austria,Mortalidad_Baja,0.9,0.1561345928798873,0.8870919619847886,0.02732400438022199,1.0,30207.0674314652
Azerbaijan,Mortalidad_Media,0.28600000000000003,0.07938595797055296,0.8507046283711281,0.05804151864739055,0.6666666666666666,7770.594223351
Azerbaijan,Mortalidad_Media,0.46799999999999997,0.07522862728529718,0.8059803991701837,0.07213701728460183,0.6666666666666666,5408.04535175023
Azerbaijan,Mortalidad_Media,0.387,0.07113479037755241,0.7961513699120109,0.08495668455342432,0.6666666666666666,4229.91064904503
Azerbaijan,Mortalidad_Media,0.44700000000000006,0.07352895999729414,0.8387581372058088,0.07174971270815267,0.6666666666666666,4805.75371765917
Azerbaijan,Mortalidad_Media,0.399,0.06783274995491087,0.8348379712425782,0.06563706295032913,0.6666666666666666,4739.7943123408
Azerbaijan,Mortalidad_Media,0.376,0.06817681880435308,0.8302310608770298,0.07063587740949685,0.6666666666666666,4147.1981423222
Azerbaijan,Mortalidad_Media,0.29,0.06827660180955429,0.8284283568209456,0.0706073107251731,0.6666666666666666,3880.6852276838
Azerbaijan,Mortalidad_Media,0.28,0.06966812937959173,0.8252950854853709,0.0778529859381432,0.6666666666666666,5500.50364628486
Azerbaijan,Mortalidad_Media,0.227,0.07037540562073807,0.8193003791401388,0.06699154095812504,0.6666666666666666,7890.84028062087
Azerbaijan,Mortalidad_Media,0.24,0.0690640758142682,0.8129336862436511,0.06758455419560834,0.6666666666666666,7875.34536661549
Azerbaijan,Mortalidad_Media,0.24,0.06903587295699776,0.8071392803490949,0.06471812374211539,0.6666666666666666,7495.86527658099
Azerbaijan,Mortalidad_Media,0.23,0.06433700200657297,0.7997710851992272,0.06391394172056779,0.6666666666666666,7189.81869211976
Azerbaijan,Mortalidad_Media,0.19,0.06015407353467646,0.7961084483868659,0.06984106887320561,0.6666666666666666,5843.5337683582
Azerbaijan,Mortalidad_Media,0.21,0.06411824185552446,0.7898848272408612,0.07714799578845431,0.6666666666666666,4950.39949009423
Azerbaijan,Mortalidad_Media,0.24,0.07321048574391048,0.7824594033908003,0.07017423683157234,0.6666666666666666,5574.46810432575
Azerbaijan,Mortalidad_Media,0.22,0.06727671531755017,0.7725016095571928,0.08243992468579361,0.6666666666666666,3851.33015175141
Azerbaijan,Mortalidad_Media,0.19,0.07193892852150971,0.7700693897989841,0.08941259192863027,0.6666666666666666,2472.95725732287
Azerbaijan,Mortalidad_Media,0.18,0.07381284258582288,0.7589241004363687,0.11543880557317554,0.6666666666666666,1578.36733030667
Azerbaijan,Mortalidad_Media,0.2,0.07099455433969862,0.755747907575649,0.13873124798109088,0.6666666666666666,1045.0136328106
Azerbaijan,Mortalidad_Media,0.2,0.06808663950880083,0.7492810644538235,0.15692549808591877,0.6666666666666666,883.692580745256
Azerbaijan,Mortalidad_Alta,0.15,0.06520629211586029,0.745461048715931,0.17627561465443023,0.6666666666666666,763.108895463487
Azerbaijan,Mortalidad_Alta,0.17,0.06504099986841987,0.7350740396308748,0.18744823886593368,0.6666666666666666,703.670998584686
Azerbaijan,Mortalidad_Alta,0.3,0.0646875707169902,0.7255454610487158,0.20323490279426035,0.6666666666666666,655.097249579917
Azerbaijan,Mortalidad_Alta,0.18,0.08352250495341328,0.6762429358323199,0.32042061324398086,0.6666666666666666,314.55801908334
Bahrain,Mortalidad_Baja,0.41600000000000004,0.4962033886149533,0.9489519994277129,0.002786550566378101,1.0,30470.5219276023
Bahrain,Mortalidad_Baja,0.644,0.49454496236008144,0.9073324272122469,0.0030708659283629055,1.0,27147.8083882286
Bahrain,Mortalidad_Baja,0.51,0.5022887468211801,0.915916732241219,0.0035078521609439106,1.0,24342.8444554718
Bahrain,Mortalidad_Baja,0.536,0.4816494898953506,0.9414979612275556,0.003071477707957168,1.0,27259.7438599327
Bahrain,Mortalidad_Baja,0.518,0.4420010939659983,0.9406538378997067,0.0031529536561255233,1.0,26324.4066549559
Bahrain,Mortalidad_Baja,0.555,0.4378507092299581,0.940582302024465,0.003177788121109177,1.0,24784.7693514607
Bahrain,Mortalidad_Baja,0.49,0.45800321494506574,0.940582302024465,0.0036703699837167037,1.0,23800.001440631
Bahrain,Mortalidad_Baja,0.48,0.48245932177929196,0.9395951069461332,0.0034921100900319325,1.0,23734.0551143019
Bahrain,Mortalidad_Baja,0.494,0.47556237224614295,0.9378210172401458,0.003315622030174086,1.0,26451.7965647453
Bahrain,Mortalidad_Baja,0.51,0.5202263713741861,0.934730667429716,0.0030158647526692017,1.0,26989.7601148469
Bahrain,Mortalidad_Baja,0.49,0.46347278481979987,0.9293511696115602,0.0030272574799779734,1.0,26438.6733230428
Bahrain,Mortalidad_Baja,0.51,0.49261110873315955,0.9224694184133342,0.0032132152208110528,1.0,25032.7867743333
Bahrain,Mortalidad_Baja,0.54,0.4783910048628087,0.9146290864868731,0.0032849575116125794,1.0,21819.3291098099
Bahrain,Mortalidad_Baja,0.5,0.48372431166410373,0.9063738464840116,0.003939778308393022,1.0,19465.3140745038
Bahrain,Mortalidad_Baja,0.5700000000000001,0.5376000310244216,0.8983761356320192,0.00302257461872381,1.0,23299.4992780392
Bahrain,Mortalidad_Baja,0.58,0.5348246274442405,0.8911510122326345,0.003370115874371792,1.0,20908.4042548073
Bahrain,Mortalidad_Baja,0.58,0.5370534959095705,0.8848272408612918,0.0030726055645376926,1.0,19267.282615072
