country,categoria_expectativa_vida,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_government_integrity,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,gdp_per_capita_current_us$
Argentina,Mortalidad_Baja,0.08339845838263572,0.8885471063738464,0.05710083512758147,0.12374998184060516,0.021779411562539406,11752.7998922979
Argentina,Mortalidad_Baja,0.08655671896151582,0.8852993776378855,0.06588057719224434,0.10958644075115304,0.021428109946590182,14532.5009308511
Argentina,Mortalidad_Baja,0.08725472931906407,0.8790328349667358,0.07895309931509677,0.12411133060284511,0.028828556687260323,12699.9623137756
Argentina,Mortalidad_Baja,0.08864180716316071,0.8861148866156376,0.06493221091385791,0.12607415829143798,0.023730265770570004,13679.6264980954
Argentina,Mortalidad_Baja,0.08826398045050013,0.8813649044996066,0.08462455205709515,0.14468959649174368,0.035602975056852185,12233.1444119186
Argentina,Mortalidad_Baja,0.08904976797915645,0.8750840546534084,0.07627457405714505,0.1435383167383142,0.03156853349326747,12963.675773326
Argentina,Mortalidad_Baja,0.08761391538208779,0.8746977609271049,0.07284270066325267,0.14610574733875417,0.031194046575317384,12949.717486654
Argentina,Mortalidad_Baja,0.08611248338145704,0.8789612990914941,0.08824443741911632,0.14361478060305,0.03776002870171794,12704.2831819684
Argentina,Mortalidad_Baja,0.08429297825948039,0.872952285571214,0.08993312110570456,0.14059611127111682,0.03847993887022939,10260.1313108254
Argentina,Mortalidad_Baja,0.07949864450342391,0.8714786465412403,0.06641212633328282,0.132642020841991,0.02845260015389369,8150.23527028221
Argentina,Mortalidad_Baja,0.08723333726816977,0.8693468774590456,0.09229702507467899,0.14547434516955268,0.03948770516664425,8944.1102657357
Argentina,Mortalidad_Media,0.08521479637847186,0.8601187495529008,0.0939852742724108,0.1472013728376598,0.041643409752954205,7185.25155147027
Argentina,Mortalidad_Baja,0.0823422209767159,0.8672151083768509,0.08744509081718274,0.1593372365085726,0.04340633665454389,5869.38028970204
Argentina,Mortalidad_Baja,0.07902007968079329,0.8665283639745331,0.10014096371908468,0.15294374122611423,0.04968475940739333,5067.65342293276
Argentina,Mortalidad_Media,0.08034165017059978,0.8613777809571499,0.10550355193482121,0.1388277833051562,0.046729189055584444,4242.02099089422
Argentina,Mortalidad_Media,0.07329093067807574,0.8533085342299163,0.13038042178310696,0.10136995337001788,0.04617065597850965,3320.47775133903
Argentina,Mortalidad_Media,0.06843080518106,0.8533800701051577,0.12884251006447148,0.09468898066737687,0.04562741645488303,2569.69963519124
Argentina,Mortalidad_Media,0.0700180321784176,0.8511195364475284,0.05748949770751036,0.11301600642188296,0.02382712993645414,7141.47507662826
Argentina,Mortalidad_Media,0.07581275072648318,0.8476285857357464,0.058898336330707325,0.12230933623542374,0.02440771785239333,7637.01489203628
Argentina,Mortalidad_Media,0.06949548517266559,0.8326632806352385,0.06739725299062808,0.06730678029468591,0.01674609282217529,7357.6162773788
Armenia,Mortalidad_Media,0.06208831116808024,0.859873433844146,0.12808389792644229,0.05923148504459353,0.03125158986022479,6571.97445545099
Armenia,Mortalidad_Media,0.0585583597941699,0.8242799739679203,0.14323068665828298,0.0630916387132456,0.03944093987067149,4685.17997128509
Armenia,Mortalidad_Media,0.05678446226097997,0.8399829709721383,0.14330986944749644,0.0634510746169961,0.04091754009929835,4268.68093304583
Armenia,Mortalidad_Baja,0.053526037628976585,0.8807060765364074,0.1455347951029203,0.067279918155009,0.046718348644589444,4597.22887399548
Armenia,Mortalidad_Baja,0.04931418111218477,0.8720868759585376,0.17611960245745661,0.059120019879410485,0.05386300803978734,4196.00562301769
Armenia,Mortalidad_Baja,0.05087490779859325,0.8663291103903239,0.1894326446443009,0.056899808095669475,0.054056279512390344,3869.05373867752
Armenia,Mortalidad_Media,0.04795724798561283,0.8613390468978726,0.207102567243804,0.06294797322216186,0.06931075299097846,3524.42476874707
Armenia,Mortalidad_Media,0.04987961396899407,0.8613739424467717,0.21764021075213322,0.06726570387877025,0.07485488849555154,3512.39350276709
Armenia,Mortalidad_Media,0.04809077199119721,0.8614088379956693,0.22838375860897847,0.0874718808038267,0.10590261163572931,3852.11800610384
Armenia,Mortalidad_Media,0.044091586919600585,0.8578145964591486,0.23297428164762876,0.08242643814190377,0.11093665025080886,3680.16692158886
Armenia,Mortalidad_Media,0.045142310790510724,0.8506261133861077,0.22636703265856,0.08437079290769992,0.10779487348941856,3511.56399687426
Armenia,Mortalidad_Media,0.04117463898013157,0.8462990653227227,0.129850900433958,0.07417573999095588,0.0596083860953378,3349.55309771906
